2025-02-24 03:33:27 [main] INFO  c.e.d.BankAccountManagementApplication - Starting BankAccountManagementApplication using Java 17.0.14 with PID 10448 (C:\-artifactId-bank-account-management-artifactId--main\bank-account-management\target\classes started by FILIZC in C:\-artifactId-bank-account-management-artifactId--main\bank-account-management)
2025-02-24 03:33:27 [main] DEBUG c.e.d.BankAccountManagementApplication - Running with Spring Boot v3.2.3, Spring v6.1.4
2025-02-24 03:33:27 [main] INFO  c.e.d.BankAccountManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-02-24 03:33:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-24 03:33:28 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 46 ms. Found 2 JPA repository interfaces.
2025-02-24 03:33:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-02-24 03:33:29 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-02-24 03:33:29 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-02-24 03:33:29 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-02-24 03:33:29 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1589 ms
2025-02-24 03:33:29 [main] DEBUG liquibase.servicelocator - Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.GlobalConfiguration
2025-02-24 03:33:29 [main] DEBUG liquibase.servicelocator - Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.integration.commandline.LiquibaseCommandLineConfiguration
2025-02-24 03:33:29 [main] DEBUG liquibase.servicelocator - Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.logging.core.DefaultLoggerConfiguration
2025-02-24 03:33:29 [main] DEBUG liquibase.servicelocator - Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.sql.SqlConfiguration
2025-02-24 03:33:29 [main] DEBUG liquibase.servicelocator - Loaded liquibase.configuration.AutoloadedConfigurations instance liquibase.parser.ChangeLogParserConfiguration
2025-02-24 03:33:29 [main] DEBUG liquibase.configuration - Found ConfigurationDefinitions in liquibase.GlobalConfiguration
2025-02-24 03:33:29 [main] DEBUG liquibase.configuration - Found ConfigurationDefinitions in liquibase.integration.commandline.LiquibaseCommandLineConfiguration
2025-02-24 03:33:29 [main] DEBUG liquibase.configuration - Found ConfigurationDefinitions in liquibase.logging.core.DefaultLoggerConfiguration
2025-02-24 03:33:29 [main] DEBUG liquibase.configuration - Found ConfigurationDefinitions in liquibase.sql.SqlConfiguration
